名前,グレード,レベル,スキル名,スキルLv
ブルーブレイドボウ,8,1,追撃,1
ブルーブレイドボウ,9,1,追撃,1
ブルーブレイドボウ,10,1,追撃,1
ブルーブレイドボウ,10,5,追撃,1
ナーブアルファルド改,8,1,攻撃活性,1
ナーブアルファルド改,9,1,攻撃活性,1
ナーブアルファルド改,10,1,攻撃活性,1
ナーブアルファルド改,10,5,攻撃活性,1
ナーブアルファルド,8,1,攻撃活性,1
ナーブアルファルド,9,1,攻撃活性,1
ナーブアルファルド,10,1,攻撃活性,1
ナーブアルファルド,10,5,攻撃活性,1
ザクンアルギエバ改,8,1,攻撃活性,1
ザクンアルギエバ改,9,1,攻撃活性,1
ザクンアルギエバ改,10,1,攻撃活性,1
ザクンアルギエバ改,10,5,攻撃活性,1
ザクンアルギエバ,8,1,攻撃活性,1
ザクンアルギエバ,9,1,攻撃活性,1
ザクンアルギエバ,10,1,攻撃活性,1
ザクンアルギエバ,10,5,攻撃活性,1
チェーダアルザバル改,8,1,攻撃活性,1
チェーダアルザバル改,9,1,攻撃活性,1
チェーダアルザバル改,10,1,攻撃活性,1
チェーダアルザバル改,10,5,攻撃活性,1
チェーダアルザバル,8,1,攻撃活性,1
チェーダアルザバル,9,1,攻撃活性,1
チェーダアルザバル,10,1,攻撃活性,1
チェーダアルザバル,10,5,攻撃活性,1
シミターアルナジト改,8,1,攻撃活性,1
シミターアルナジト改,9,1,攻撃活性,1
シミターアルナジト改,10,1,攻撃活性,1
シミターアルナジト改,10,5,攻撃活性,1
シミターアルナジト,8,1,攻撃活性,1
シミターアルナジト,9,1,攻撃活性,1
シミターアルナジト,10,1,攻撃活性,1
シミターアルナジト,10,5,攻撃活性,1
マトラカアルグル改,8,1,攻撃活性,1
マトラカアルグル改,9,1,攻撃活性,1
マトラカアルグル改,10,1,攻撃活性,1
マトラカアルグル改,10,5,攻撃活性,1
マトラカアルグル,8,1,攻撃活性,1
マトラカアルグル,9,1,攻撃活性,1
マトラカアルグル,10,1,攻撃活性,1
マトラカアルグル,10,5,攻撃活性,1
ハルバアルメンカル改,8,1,攻撃活性,1
ハルバアルメンカル改,9,1,攻撃活性,1
ハルバアルメンカル改,10,1,攻撃活性,1
ハルバアルメンカル改,10,5,攻撃活性,1
ハルバアルメンカル,8,1,攻撃活性,1
ハルバアルメンカル,9,1,攻撃活性,1
ハルバアルメンカル,10,1,攻撃活性,1
ハルバアルメンカル,10,5,攻撃活性,1
アスファアルダナブ改,8,1,攻撃活性,1
アスファアルダナブ改,9,1,攻撃活性,1
アスファアルダナブ改,10,1,攻撃活性,1
アスファアルダナブ改,10,5,攻撃活性,1
アスファアルダナブ,8,1,攻撃活性,1
アスファアルダナブ,9,1,攻撃活性,1
アスファアルダナブ,10,1,攻撃活性,1
アスファアルダナブ,10,5,攻撃活性,1
アクサアルダバラン改,8,1,攻撃活性,1
アクサアルダバラン改,9,1,攻撃活性,1
アクサアルダバラン改,10,1,攻撃活性,1
アクサアルダバラン改,10,5,攻撃活性,1
アクサアルダバラン,8,1,攻撃活性,1
アクサアルダバラン,9,1,攻撃活性,1
アクサアルダバラン,10,1,攻撃活性,1
アクサアルダバラン,10,5,攻撃活性,1
アスラトアルマイサ改,8,1,攻撃活性,1
アスラトアルマイサ改,9,1,攻撃活性,1
アスラトアルマイサ改,10,1,攻撃活性,1
アスラトアルマイサ改,10,5,攻撃活性,1
アスラトアルマイサ,8,1,攻撃活性,1
アスラトアルマイサ,9,1,攻撃活性,1
アスラトアルマイサ,10,1,攻撃活性,1
アスラトアルマイサ,10,5,攻撃活性,1
ラサーサアルシアラ改,8,1,攻撃活性,1
ラサーサアルシアラ改,9,1,攻撃活性,1
ラサーサアルシアラ改,10,1,攻撃活性,1
ラサーサアルシアラ改,10,5,攻撃活性,1
ラサーサアルシアラ,8,1,攻撃活性,1
ラサーサアルシアラ,9,1,攻撃活性,1
ラサーサアルシアラ,10,1,攻撃活性,1
ラサーサアルシアラ,10,5,攻撃活性,1
サイドアルシャマリ改,8,1,攻撃活性,1
サイドアルシャマリ改,9,1,攻撃活性,1
サイドアルシャマリ改,10,1,攻撃活性,1
サイドアルシャマリ改,10,5,攻撃活性,1
サイドアルシャマリ,8,1,攻撃活性,1
サイドアルシャマリ,9,1,攻撃活性,1
サイドアルシャマリ,10,1,攻撃活性,1
サイドアルシャマリ,10,5,攻撃活性,1
シャルラアルナスル改,8,1,攻撃活性,1
シャルラアルナスル改,9,1,攻撃活性,1
シャルラアルナスル改,10,1,攻撃活性,1
シャルラアルナスル改,10,5,攻撃活性,1
シャルラアルナスル,8,1,攻撃活性,1
シャルラアルナスル,9,1,攻撃活性,1
シャルラアルナスル,10,1,攻撃活性,1
シャルラアルナスル,10,5,攻撃活性,1
ワージャアルリジル改,8,1,攻撃活性,1
ワージャアルリジル改,9,1,攻撃活性,1
ワージャアルリジル改,10,1,攻撃活性,1
ワージャアルリジル改,10,5,攻撃活性,1
ワージャアルリジル,8,1,攻撃活性,1
ワージャアルリジル,9,1,攻撃活性,1
ワージャアルリジル,10,1,攻撃活性,1
ワージャアルリジル,10,5,攻撃活性,1
キーラアルティール改,8,1,攻撃活性,1
キーラアルティール改,9,1,攻撃活性,1
キーラアルティール改,10,1,攻撃活性,1
キーラアルティール改,10,5,攻撃活性,1
キーラアルティール,8,1,攻撃活性,1
キーラアルティール,9,1,攻撃活性,1
キーラアルティール,10,1,攻撃活性,1
キーラアルティール,10,5,攻撃活性,1
D=ジーカッター,8,1,水属性攻撃強化,1
D=ジーカッター,9,1,水属性攻撃強化,1
D=ジーカッター,10,1,水属性攻撃強化,1
D=ジーカッター,10,5,水属性攻撃強化,1
セツ=D,8,1,水属性攻撃強化,1
セツ=D,9,1,水属性攻撃強化,1
セツ=D,10,1,水属性攻撃強化,1
セツ=D,10,5,水属性攻撃強化,1
D=バイダー,8,1,水属性攻撃強化,1
D=バイダー,9,1,水属性攻撃強化,1
D=バイダー,10,1,水属性攻撃強化,1
D=バイダー,10,5,水属性攻撃強化,1
D=トゥ,8,1,水属性攻撃強化,1
D=トゥ,9,1,水属性攻撃強化,1
D=トゥ,10,1,水属性攻撃強化,1
D=トゥ,10,5,水属性攻撃強化,1
D=ブレイク,8,1,水属性攻撃強化,1
D=ブレイク,9,1,水属性攻撃強化,1
D=ブレイク,10,1,水属性攻撃強化,1
D=ブレイク,10,5,水属性攻撃強化,1
D=スィ,8,1,水属性攻撃強化,1
D=スィ,9,1,水属性攻撃強化,1
D=スィ,10,1,水属性攻撃強化,1
D=スィ,10,5,水属性攻撃強化,1
ドゥームズ=D,8,1,水属性攻撃強化,1
ドゥームズ=D,9,1,水属性攻撃強化,1
ドゥームズ=D,10,1,水属性攻撃強化,1
ドゥームズ=D,10,5,水属性攻撃強化,1
D=ネイ,8,1,水属性攻撃強化,1
D=ネイ,9,1,水属性攻撃強化,1
D=ネイ,10,1,水属性攻撃強化,1
D=ネイ,10,5,水属性攻撃強化,1
D=ビジョン,8,1,水属性攻撃強化,1
D=ビジョン,9,1,水属性攻撃強化,1
D=ビジョン,10,1,水属性攻撃強化,1
D=ビジョン,10,5,水属性攻撃強化,1
フー=D,8,1,水属性攻撃強化,1
フー=D,9,1,水属性攻撃強化,1
フー=D,10,1,水属性攻撃強化,1
フー=D,10,5,水属性攻撃強化,1
D=スラプト,8,1,水属性攻撃強化,1
D=スラプト,9,1,水属性攻撃強化,1
D=スラプト,10,1,水属性攻撃強化,1
D=スラプト,10,5,水属性攻撃強化,1
D=ガン,8,1,水属性攻撃強化,1
D=ガン,9,1,水属性攻撃強化,1
D=ガン,10,1,水属性攻撃強化,1
D=ガン,10,5,水属性攻撃強化,1
D=レクション,8,1,水属性攻撃強化,1
D=レクション,9,1,水属性攻撃強化,1
D=レクション,10,1,水属性攻撃強化,1
D=レクション,10,5,水属性攻撃強化,1
D=シャ,8,1,水属性攻撃強化,1
D=シャ,9,1,水属性攻撃強化,1
D=シャ,10,1,水属性攻撃強化,1
D=シャ,10,5,水属性攻撃強化,1
サルガナスレイピア改,6,1,雷属性攻撃強化,1
サルガナスレイピア改,7,1,雷属性攻撃強化,1
サルガナスレイピア改,8,1,雷属性攻撃強化,1
サルガナスレイピア改,9,1,雷属性攻撃強化,1
サルガナスレイピア改,10,1,雷属性攻撃強化,1
サルガナスレイピア改,10,5,雷属性攻撃強化,1
サルガナスレイピア,5,1,雷属性攻撃強化,1
サルガナスレイピア,6,1,雷属性攻撃強化,1
サルガナスレイピア,7,1,雷属性攻撃強化,1
サルガナスレイピア,8,1,雷属性攻撃強化,1
サルガナスレイピア,9,1,雷属性攻撃強化,1
サルガナスレイピア,10,1,雷属性攻撃強化,1
サルガナスレイピア,10,5,雷属性攻撃強化,1
双光刃ココウノリュウ改,6,1,雷属性攻撃強化,1
双光刃ココウノリュウ改,7,1,雷属性攻撃強化,1
双光刃ココウノリュウ改,8,1,雷属性攻撃強化,1
双光刃ココウノリュウ改,9,1,雷属性攻撃強化,1
双光刃ココウノリュウ改,10,1,雷属性攻撃強化,1
双光刃ココウノリュウ改,10,5,雷属性攻撃強化,1
双光刃ココウノリュウ,5,1,雷属性攻撃強化,1
双光刃ココウノリュウ,6,1,雷属性攻撃強化,1
双光刃ココウノリュウ,7,1,雷属性攻撃強化,1
双光刃ココウノリュウ,8,1,雷属性攻撃強化,1
双光刃ココウノリュウ,9,1,雷属性攻撃強化,1
双光刃ココウノリュウ,10,1,雷属性攻撃強化,1
双光刃ココウノリュウ,10,5,雷属性攻撃強化,1
啼剣ライゼクス改,6,1,雷属性攻撃強化,1
啼剣ライゼクス改,7,1,雷属性攻撃強化,1
啼剣ライゼクス改,8,1,雷属性攻撃強化,1
啼剣ライゼクス改,9,1,雷属性攻撃強化,1
啼剣ライゼクス改,10,1,雷属性攻撃強化,1
啼剣ライゼクス改,10,5,雷属性攻撃強化,1
啼剣ライゼクス,5,1,雷属性攻撃強化,1
啼剣ライゼクス,6,1,雷属性攻撃強化,1
啼剣ライゼクス,7,1,雷属性攻撃強化,1
啼剣ライゼクス,8,1,雷属性攻撃強化,1
啼剣ライゼクス,9,1,雷属性攻撃強化,1
啼剣ライゼクス,10,1,雷属性攻撃強化,1
啼剣ライゼクス,10,5,雷属性攻撃強化,1
飛竜刀【ペリドート】改,6,1,雷属性攻撃強化,1
飛竜刀【ペリドート】改,7,1,雷属性攻撃強化,1
飛竜刀【ペリドート】改,8,1,雷属性攻撃強化,1
飛竜刀【ペリドート】改,9,1,雷属性攻撃強化,1
飛竜刀【ペリドート】改,10,1,雷属性攻撃強化,1
飛竜刀【ペリドート】改,10,5,雷属性攻撃強化,1
飛竜刀【ペリドート】,5,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,6,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,7,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,8,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,9,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,10,1,雷属性攻撃強化,1
飛竜刀【ペリドート】,10,5,雷属性攻撃強化,1
電竜砕ゼクスムマ改,6,1,雷属性攻撃強化,1
電竜砕ゼクスムマ改,7,1,雷属性攻撃強化,1
電竜砕ゼクスムマ改,8,1,雷属性攻撃強化,1
電竜砕ゼクスムマ改,9,1,雷属性攻撃強化,1
電竜砕ゼクスムマ改,10,1,雷属性攻撃強化,1
電竜砕ゼクスムマ改,10,5,雷属性攻撃強化,1
電竜砕ゼクスムマ,5,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,6,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,7,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,8,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,9,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,10,1,雷属性攻撃強化,1
電竜砕ゼクスムマ,10,5,雷属性攻撃強化,1
ヴェールライトニング改,6,1,雷属性攻撃強化,1
ヴェールライトニング改,7,1,雷属性攻撃強化,1
ヴェールライトニング改,8,1,雷属性攻撃強化,1
ヴェールライトニング改,9,1,雷属性攻撃強化,1
ヴェールライトニング改,10,1,雷属性攻撃強化,1
ヴェールライトニング改,10,5,雷属性攻撃強化,1
ヴェールライトニング,5,1,雷属性攻撃強化,1
ヴェールライトニング,6,1,雷属性攻撃強化,1
ヴェールライトニング,7,1,雷属性攻撃強化,1
ヴェールライトニング,8,1,雷属性攻撃強化,1
ヴェールライトニング,9,1,雷属性攻撃強化,1
ヴェールライトニング,10,1,雷属性攻撃強化,1
ヴェールライトニング,10,5,雷属性攻撃強化,1
フォンセチャリオット改,6,1,雷属性攻撃強化,1
フォンセチャリオット改,7,1,雷属性攻撃強化,1
フォンセチャリオット改,8,1,雷属性攻撃強化,1
フォンセチャリオット改,9,1,雷属性攻撃強化,1
フォンセチャリオット改,10,1,雷属性攻撃強化,1
フォンセチャリオット改,10,5,雷属性攻撃強化,1
フォンセチャリオット,5,1,雷属性攻撃強化,1
フォンセチャリオット,6,1,雷属性攻撃強化,1
フォンセチャリオット,7,1,雷属性攻撃強化,1
フォンセチャリオット,8,1,雷属性攻撃強化,1
フォンセチャリオット,9,1,雷属性攻撃強化,1
フォンセチャリオット,10,1,雷属性攻撃強化,1
フォンセチャリオット,10,5,雷属性攻撃強化,1
霹電斧アムガラクレス,6,1,雷属性攻撃強化,1
霹電斧アムガラクレス,7,1,雷属性攻撃強化,1
霹電斧アムガラクレス,8,1,雷属性攻撃強化,1
霹電斧アムガラクレス,9,1,雷属性攻撃強化,1
霹電斧アムガラクレス,10,1,雷属性攻撃強化,1
霹電斧アムガラクレス,10,5,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,5,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,6,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,7,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,8,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,9,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,10,1,雷属性攻撃強化,1
電閃斧ヴァジャラクレス,10,5,雷属性攻撃強化,1
ハイ=ライジャード改,6,1,雷属性攻撃強化,1
ハイ=ライジャード改,7,1,雷属性攻撃強化,1
ハイ=ライジャード改,8,1,雷属性攻撃強化,1
ハイ=ライジャード改,9,1,雷属性攻撃強化,1
ハイ=ライジャード改,10,1,雷属性攻撃強化,1
ハイ=ライジャード改,10,5,雷属性攻撃強化,1
ハイ＝ライジャード,5,1,雷属性攻撃強化,1
ハイ＝ライジャード,6,1,雷属性攻撃強化,1
ハイ＝ライジャード,7,1,雷属性攻撃強化,1
ハイ＝ライジャード,8,1,雷属性攻撃強化,1
ハイ＝ライジャード,9,1,雷属性攻撃強化,1
ハイ＝ライジャード,10,1,雷属性攻撃強化,1
ハイ＝ライジャード,10,5,雷属性攻撃強化,1
サージ電竜砲【翠電】改,6,1,雷属性攻撃強化,1
サージ電竜砲【翠電】改,7,1,雷属性攻撃強化,1
サージ電竜砲【翠電】改,8,1,雷属性攻撃強化,1
サージ電竜砲【翠電】改,9,1,雷属性攻撃強化,1
サージ電竜砲【翠電】改,10,1,雷属性攻撃強化,1
サージ電竜砲【翠電】改,10,5,雷属性攻撃強化,1
サージ電竜砲【翠電】,5,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,6,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,7,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,8,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,9,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,10,1,雷属性攻撃強化,1
サージ電竜砲【翠電】,10,5,雷属性攻撃強化,1
電竜大砲【襲撃】改,6,1,雷属性攻撃強化,1
電竜大砲【襲撃】改,7,1,雷属性攻撃強化,1
電竜大砲【襲撃】改,8,1,雷属性攻撃強化,1
電竜大砲【襲撃】改,9,1,雷属性攻撃強化,1
電竜大砲【襲撃】改,10,1,雷属性攻撃強化,1
電竜大砲【襲撃】改,10,5,雷属性攻撃強化,1
電竜大砲【襲撃】,5,1,雷属性攻撃強化,1
電竜大砲【襲撃】,6,1,雷属性攻撃強化,1
電竜大砲【襲撃】,7,1,雷属性攻撃強化,1
電竜大砲【襲撃】,8,1,雷属性攻撃強化,1
電竜大砲【襲撃】,9,1,雷属性攻撃強化,1
電竜大砲【襲撃】,10,1,雷属性攻撃強化,1
電竜大砲【襲撃】,10,5,雷属性攻撃強化,1
電撃弓トネール改,6,1,雷属性攻撃強化,1
電撃弓トネール改,7,1,雷属性攻撃強化,1
電撃弓トネール改,8,1,雷属性攻撃強化,1
電撃弓トネール改,9,1,雷属性攻撃強化,1
電撃弓トネール改,10,1,雷属性攻撃強化,1
電撃弓トネール改,10,5,雷属性攻撃強化,1
電撃弓トネール,5,1,雷属性攻撃強化,1
電撃弓トネール,6,1,雷属性攻撃強化,1
電撃弓トネール,7,1,雷属性攻撃強化,1
電撃弓トネール,8,1,雷属性攻撃強化,1
電撃弓トネール,9,1,雷属性攻撃強化,1
電撃弓トネール,10,1,雷属性攻撃強化,1
電撃弓トネール,10,5,雷属性攻撃強化,1
グルンドナーフラップ改,6,1,雷属性攻撃強化,1
グルンドナーフラップ改,7,1,雷属性攻撃強化,1
グルンドナーフラップ改,8,1,雷属性攻撃強化,1
グルンドナーフラップ改,9,1,雷属性攻撃強化,1
グルンドナーフラップ改,10,1,雷属性攻撃強化,1
グルンドナーフラップ改,10,5,雷属性攻撃強化,1
グルンドナーフラップ,5,1,雷属性攻撃強化,1
グルンドナーフラップ,6,1,雷属性攻撃強化,1
グルンドナーフラップ,7,1,雷属性攻撃強化,1
グルンドナーフラップ,8,1,雷属性攻撃強化,1
グルンドナーフラップ,9,1,雷属性攻撃強化,1
グルンドナーフラップ,10,1,雷属性攻撃強化,1
グルンドナーフラップ,10,5,雷属性攻撃強化,1
雷牙の霆竜棍改,6,1,雷属性攻撃強化,1
雷牙の霆竜棍改,7,1,雷属性攻撃強化,1
雷牙の霆竜棍改,8,1,雷属性攻撃強化,1
雷牙の霆竜棍改,9,1,雷属性攻撃強化,1
雷牙の霆竜棍改,10,1,雷属性攻撃強化,1
雷牙の霆竜棍改,10,5,雷属性攻撃強化,1
雷牙の霆竜棍,5,1,雷属性攻撃強化,1
雷牙の霆竜棍,6,1,雷属性攻撃強化,1
雷牙の霆竜棍,7,1,雷属性攻撃強化,1
雷牙の霆竜棍,8,1,雷属性攻撃強化,1
雷牙の霆竜棍,9,1,雷属性攻撃強化,1
雷牙の霆竜棍,10,1,雷属性攻撃強化,1
雷牙の霆竜棍,10,5,雷属性攻撃強化,1
ゴシャガガシャ,8,1,凶会心,1
ゴシャガガシャ,9,1,凶会心,1
ゴシャガガシャ,10,1,凶会心,1
ゴシャガガシャ,10,5,凶会心,1
ゴシャガシャ,8,1,凶会心,1
ゴシャガシャ,9,1,凶会心,1
ゴシャガシャ,10,1,凶会心,1
ゴシャガシャ,10,5,凶会心,1
ゴシャガバァン,8,1,凶会心,1
ゴシャガバァン,9,1,凶会心,1
ゴシャガバァン,10,1,凶会心,1
ゴシャガバァン,10,5,凶会心,1
ゴシャバァン,8,1,凶会心,1
ゴシャバァン,9,1,凶会心,1
ゴシャバァン,10,1,凶会心,1
ゴシャバァン,10,5,凶会心,1
ゴシャガボコォ,8,1,凶会心,1
ゴシャガボコォ,9,1,凶会心,1
ゴシャガボコォ,10,1,凶会心,1
ゴシャガボコォ,10,5,凶会心,1
ゴシャボコォ,8,1,凶会心,1
ゴシャボコォ,9,1,凶会心,1
ゴシャボコォ,10,1,凶会心,1
ゴシャボコォ,10,5,凶会心,1
笞打ちのシュトック,6,1,狩人の結束,1
笞打ちのシュトック,7,1,狩人の結束,1
笞打ちのシュトック,8,1,狩人の結束,1
笞打ちのシュトック,8,1,ハイチャージ【龍】,1
笞打ちのシュトック,9,1,狩人の結束,1
笞打ちのシュトック,9,1,ハイチャージ【龍】,1
笞打ちのシュトック,10,1,狩人の結束,1
笞打ちのシュトック,10,1,ハイチャージ【龍】,1
笞打ちのシュトック,10,5,狩人の結束,1
笞打ちのシュトック,10,5,ハイチャージ【龍】,1
ローゼンシュタンゲ改,6,1,破壊王【SPスキル】,1
ローゼンシュタンゲ改,7,1,破壊王【SPスキル】,1
ローゼンシュタンゲ改,8,1,破壊王【SPスキル】,2
ローゼンシュタンゲ改,9,1,破壊王【SPスキル】,2
ローゼンシュタンゲ改,10,1,破壊王【SPスキル】,2
ローゼンシュタンゲ改,10,5,破壊王【SPスキル】,2
ローゼンシュタンゲ,5,1,破壊王【SPスキル】,1
ローゼンシュタンゲ,6,1,破壊王【SPスキル】,1
ローゼンシュタンゲ,7,1,破壊王【SPスキル】,1
ローゼンシュタンゲ,8,1,破壊王【SPスキル】,2
ローゼンシュタンゲ,9,1,破壊王【SPスキル】,2
ローゼンシュタンゲ,10,1,破壊王【SPスキル】,2
ローゼンシュタンゲ,10,5,破壊王【SPスキル】,2
ゴルム・グレイヴ改,6,1,果敢,1
ゴルム・グレイヴ改,7,1,果敢,1
ゴルム・グレイヴ改,8,1,果敢,1
ゴルム・グレイヴ改,9,1,果敢,1
ゴルム・グレイヴ改,10,1,果敢,1
ゴルム・グレイヴ改,10,5,果敢,1
ゴルム・グレイヴ,4,1,果敢,1
ゴルム・グレイヴ,5,1,果敢,1
ゴルム・グレイヴ,6,1,果敢,1
ゴルム・グレイヴ,7,1,果敢,1
ゴルム・グレイヴ,8,1,果敢,1
ゴルム・グレイヴ,9,1,果敢,1
ゴルム・グレイヴ,10,1,果敢,1
ゴルム・グレイヴ,10,5,果敢,1
冷たき月の双刃棍改,8,1,ハイチャージ【氷】,1
冷たき月の双刃棍改,9,1,ハイチャージ【氷】,1
冷たき月の双刃棍改,10,1,ハイチャージ【氷】,1
冷たき月の双刃棍改,10,5,ハイチャージ【氷】,1
冷たき月の双刃棍,8,1,ハイチャージ【氷】,1
冷たき月の双刃棍,9,1,ハイチャージ【氷】,1
冷たき月の双刃棍,10,1,ハイチャージ【氷】,1
冷たき月の双刃棍,10,5,ハイチャージ【氷】,1
ヒュドロスアーケーン,6,1,狩人の結束,1
ヒュドロスアーケーン,7,1,狩人の結束,1
ヒュドロスアーケーン,8,1,狩人の結束,1
ヒュドロスアーケーン,8,1,弱点特効,1
ヒュドロスアーケーン,9,1,狩人の結束,1
ヒュドロスアーケーン,9,1,弱点特効,1
ヒュドロスアーケーン,10,1,狩人の結束,1
ヒュドロスアーケーン,10,1,弱点特効,1
ヒュドロスアーケーン,10,5,狩人の結束,1
ヒュドロスアーケーン,10,5,弱点特効,1
ヒドゥンケイン,5,1,死中に活,1
ヒドゥンケイン,6,1,死中に活,1
ヒドゥンケイン,7,1,死中に活,1
ヒドゥンケイン,8,1,死中に活,2
ヒドゥンケイン,9,1,死中に活,2
ヒドゥンケイン,10,1,死中に活,2
ヒドゥンケイン,10,5,死中に活,2
ブラングレイヴ,8,1,勇猛,1
ブラングレイヴ,9,1,勇猛,1
ブラングレイヴ,10,1,勇猛,1
ブラングレイヴ,10,5,勇猛,1
ヘイズキャスター,6,1,狩人の結束,1
ヘイズキャスター,7,1,狩人の結束,1
ヘイズキャスター,8,1,狩人の結束,1
