シリーズ,防具名,グレード,レベル,ゼニー,素材1,個数1,素材2,個数2,素材3,個数3,素材4,個数4
レザー,レザーベルト,4,1,900,ドラグライト鉱石,4,マカライト鉱石,10,鉄鉱石,9,,
レザー,レザーベルト,4,2,300,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーベルト,4,3,450,鉄鉱石,9,不死虫,4,,,,
レザー,レザーベルト,4,4,600,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーベルト,4,5,750,大地の結晶,15,鉄鉱石,9,,,,
レザー,レザーベルト,5,1,1500,ドラグライト鉱石,6,マカライト鉱石,15,鉄鉱石,12,,
レザー,レザーベルト,5,2,500,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーベルト,5,3,750,鉄鉱石,12,不死虫,10,,,,
レザー,レザーベルト,5,4,1000,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーベルト,5,5,1250,大地の結晶,20,鉄鉱石,12,,,,
レザー,レザーベルト,6,1,3000,ドラグライト鉱石,15,防具精錬材,1,マカライト鉱石,30,鉄鉱石,21
レザー,レザーベルト,6,2,1000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーベルト,6,3,1500,鉄鉱石,21,不死虫,20,,,,
レザー,レザーベルト,6,4,2000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーベルト,6,5,2500,大地の結晶,30,鉄鉱石,21,,,,
レザー,レザーベルト,7,1,6000,ドラグライト鉱石,20,防具精錬材,3,マカライト鉱石,40,鉄鉱石,28
レザー,レザーベルト,7,2,2000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーベルト,7,3,3000,不死虫,30,鉄鉱石,28,,,,
レザー,レザーベルト,7,4,4000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーベルト,7,5,5000,大地の結晶,40,鉄鉱石,28,,,,
レザー,レザーベルト,8,1,12000,竜玉のかけら,2,ドラグライト鉱石,30,防具精錬材,5,鉄鉱石,35
レザー,レザーベルト,8,2,4000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーベルト,8,3,6000,竜玉のかけら,2,マカライト鉱石,50,不死虫,40,鉄鉱石,35
レザー,レザーベルト,8,4,8000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーベルト,8,5,10000,竜玉のかけら,2,大地の結晶,2,鉄鉱石,70,,
レザー,レザーベルト,9,1,30000,竜玉のかけら,3,ドラグライト鉱石,40,防具精錬材,7,鉄鉱石,35
レザー,レザーベルト,9,2,10000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーベルト,9,3,15000,竜玉のかけら,3,マカライト鉱石,60,不死虫,50,鉄鉱石,35
レザー,レザーベルト,9,4,20000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーベルト,9,5,25000,竜玉のかけら,3,大地の結晶,60,鉄鉱石,105,,
レザー,レザーベルト,10,1,75000,竜玉のかけら,5,ドラグライト鉱石,50,防具精錬材,9,鉄鉱石,35
レザー,レザーベルト,10,2,25000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーベルト,10,3,37500,竜玉のかけら,10,マカライト鉱石,70,不死虫,60,鉄鉱石,35
レザー,レザーベルト,10,4,50000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーベルト,10,5,62500,竜玉のかけら,15,大地の結晶,70,鉄鉱石,140,,
レザー,レザーパンツ,1,1,0,,,,,,,,
レザー,レザーパンツ,1,2,20,鉄鉱石,2,,,,,,
レザー,レザーパンツ,1,3,30,鉄鉱石,2,,,,,,
レザー,レザーパンツ,1,4,40,鉄鉱石,2,,,,,,
レザー,レザーパンツ,1,5,50,鉄鉱石,2,,,,,,
レザー,レザーパンツ,2,1,300,鉄鉱石,3,,,,,,
レザー,レザーパンツ,2,2,100,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーパンツ,2,3,150,鉄鉱石,3,不死虫,2,,,,
レザー,レザーパンツ,2,4,200,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーパンツ,2,5,250,大地の結晶,5,鉄鉱石,3,,,,
レザー,レザーパンツ,3,1,600,ドラグライト鉱石,3,マカライト鉱石,6,鉄鉱石,6,,
レザー,レザーパンツ,3,2,200,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーパンツ,3,3,300,鉄鉱石,6,不死虫,3,,,,
レザー,レザーパンツ,3,4,400,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーパンツ,3,5,500,大地の結晶,10,鉄鉱石,6,,,,
レザー,レザーパンツ,4,1,900,ドラグライト鉱石,4,マカライト鉱石,10,鉄鉱石,9,,
レザー,レザーパンツ,4,2,300,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーパンツ,4,3,450,鉄鉱石,9,不死虫,4,,,,
レザー,レザーパンツ,4,4,600,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーパンツ,4,5,750,大地の結晶,15,鉄鉱石,9,,,,
レザー,レザーパンツ,5,1,1500,ドラグライト鉱石,6,マカライト鉱石,15,鉄鉱石,12,,
レザー,レザーパンツ,5,2,500,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーパンツ,5,3,750,鉄鉱石,12,不死虫,10,,,,
レザー,レザーパンツ,5,4,1000,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーパンツ,5,5,1250,大地の結晶,20,鉄鉱石,12,,,,
レザー,レザーパンツ,6,1,3000,ドラグライト鉱石,15,防具精錬材,1,マカライト鉱石,30,鉄鉱石,21
レザー,レザーパンツ,6,2,1000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーパンツ,6,3,1500,鉄鉱石,21,不死虫,20,,,,
レザー,レザーパンツ,6,4,2000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーパンツ,6,5,2500,大地の結晶,30,鉄鉱石,21,,,,
レザー,レザーパンツ,7,1,6000,ドラグライト鉱石,20,防具精錬材,3,マカライト鉱石,40,鉄鉱石,28
レザー,レザーパンツ,7,2,2000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーパンツ,7,3,3000,不死虫,30,鉄鉱石,28,,,,
レザー,レザーパンツ,7,4,4000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーパンツ,7,5,5000,大地の結晶,40,鉄鉱石,28,,,,
レザー,レザーパンツ,8,1,12000,竜玉のかけら,2,ドラグライト鉱石,30,防具精錬材,5,鉄鉱石,35
レザー,レザーパンツ,8,2,4000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーパンツ,8,3,6000,竜玉のかけら,2,マカライト鉱石,50,不死虫,40,鉄鉱石,35
レザー,レザーパンツ,8,4,8000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーパンツ,8,5,10000,竜玉のかけら,2,大地の結晶,2,鉄鉱石,70,,
レザー,レザーパンツ,9,1,30000,竜玉のかけら,3,ドラグライト鉱石,40,防具精錬材,7,鉄鉱石,35
レザー,レザーパンツ,9,2,10000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーパンツ,9,3,15000,竜玉のかけら,3,マカライト鉱石,60,不死虫,50,鉄鉱石,35
レザー,レザーパンツ,9,4,20000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーパンツ,9,5,25000,竜玉のかけら,3,大地の結晶,60,鉄鉱石,105,,
レザー,レザーパンツ,10,1,75000,竜玉のかけら,5,ドラグライト鉱石,50,防具精錬材,9,鉄鉱石,35
レザー,レザーパンツ,10,2,25000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーパンツ,10,3,37500,竜玉のかけら,10,マカライト鉱石,70,不死虫,60,鉄鉱石,35
レザー,レザーパンツ,10,4,50000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーパンツ,10,5,62500,竜玉のかけら,15,大地の結晶,70,鉄鉱石,140,,
ジャグラス,ジャグラスヘルム,1,1,10,賊竜の皮,2,鉄鉱石,1,,,,
ジャグラス,ジャグラスヘルム,1,2,20,賊竜の皮,2,翼竜の皮,2,,,,
ジャグラス,ジャグラスヘルム,1,3,30,賊竜の爪,1,賊竜の皮,2,,,,
ジャグラス,ジャグラスヘルム,1,4,40,賊竜の皮,2,翼竜の皮,1,,,,
ジャグラス,ジャグラスヘルム,1,5,50,賊竜の皮,2,鉄鉱石,1,,,,
ジャグラス,ジャグラスヘルム,2,1,300,賊竜のたてがみ,1,マカライト鉱石,1,賊竜の皮,2,,
ジャグラス,ジャグラスヘルム,2,2,100,賊竜の皮,2,翼竜の皮,2,鉄鉱石,2,,
ジャグラス,ジャグラスヘルム,2,3,150,賊竜の爪,2,賊竜の皮,2,流水草,1,,
ジャグラス,ジャグラスヘルム,2,4,200,賊竜の皮,2,翼竜の皮,2,鉄鉱石,2,,
ジャグラス,ジャグラスヘルム,2,5,250,ドラグライト鉱石,1,大地の結晶,1,賊竜の皮,2,,
ジャグラス,ジャグラスヘルム,3,1,600,賊竜のたてがみ,2,マカライト鉱石,2,賊竜の皮,3,,
ジャグラス,ジャグラスヘルム,3,2,200,翼竜の皮,6,賊竜の皮,3,鉄鉱石,3,,
ジャグラス,ジャグラスヘルム,3,3,300,賊竜の爪,3,賊竜の皮,3,流水草,2,,
ジャグラス,ジャグラスヘルム,3,4,400,翼竜の皮,6,賊竜の皮,3,鉄鉱石,3,,
ジャグラス,ジャグラスヘルム,3,5,500,大地の結晶,3,ドラグライト鉱石,1,賊竜の皮,3,,
ジャグラス,ジャグラスヘルム,4,1,900,賊竜の良質な鱗,2,賊竜のたてがみ,2,マカライト鉱石,4,賊竜の皮,4
ジャグラス,ジャグラスヘルム,4,2,300,翼竜の皮,12,鉄鉱石,6,賊竜の皮,4,,
ジャグラス,ジャグラスヘルム,4,3,450,賊竜の爪,4,賊竜の皮,4,流水草,3,,
ジャグラス,ジャグラスヘルム,4,4,600,翼竜の皮,12,鉄鉱石,6,賊竜の皮,4,,
ジャグラス,ジャグラスヘルム,4,5,750,大地の結晶,6,ドラグライト鉱石,2,賊竜の皮,4,,
ジャグラス,ジャグラスヘルム,5,1,1500,賊竜の良質な鱗,3,賊竜のたてがみ,3,マカライト鉱石,6,賊竜の皮,6
ジャグラス,ジャグラスヘルム,5,2,500,翼竜の皮,15,鉄鉱石,11,賊竜の皮,6,,
ジャグラス,ジャグラスヘルム,5,3,750,賊竜の爪,5,流水草,9,賊竜の皮,6,,
ジャグラス,ジャグラスヘルム,5,4,1000,翼竜の皮,15,鉄鉱石,11,賊竜の皮,6,,
ジャグラス,ジャグラスヘルム,5,5,1250,大地の結晶,9,ドラグライト鉱石,3,賊竜の皮,6,,
ジャグラス,ジャグラスヘルム,6,1,3000,牙竜玉,2,賊竜の良質な鱗,3,防具精錬材,1,賊竜の皮,13
ジャグラス,ジャグラスヘルム,6,2,1000,翼竜の皮,31,鉄鉱石,22,賊竜の皮,13,,
ジャグラス,ジャグラスヘルム,6,3,1500,賊竜のたてがみ,8,賊竜の爪,10,流水草,14,賊竜の皮,13
ジャグラス,ジャグラスヘルム,6,4,2000,翼竜の皮,31,鉄鉱石,22,賊竜の皮,13,,
ジャグラス,ジャグラスヘルム,6,5,2500,大地の結晶,14,ドラグライト鉱石,5,マカライト鉱石,14,賊竜の皮,13
ジャグラス,ジャグラスヘルム,7,1,6000,牙竜玉,2,賊竜の良質な鱗,6,防具精錬材,3,賊竜の皮,17
ジャグラス,ジャグラスヘルム,7,2,2000,翼竜の皮,36,鉄鉱石,29,賊竜の皮,17,,
ジャグラス,ジャグラスヘルム,7,3,3000,賊竜のたてがみ,10,賊竜の爪,15,流水草,22,賊竜の皮,17
ジャグラス,ジャグラスヘルム,7,4,4000,翼竜の皮,36,鉄鉱石,29,賊竜の皮,17,,
ジャグラス,ジャグラスヘルム,7,5,5000,大地の結晶,22,ドラグライト鉱石,8,マカライト鉱石,21,賊竜の皮,17
ジャグラス,ジャグラスヘルム,8,1,12000,竜玉のかけら,2,牙竜玉,3,防具精錬材,5,,
ジャグラス,ジャグラスヘルム,8,2,4000,賊竜の爪,20,翼竜の皮,45,鉄鉱石,37,,
ジャグラス,ジャグラスヘルム,8,3,6000,竜玉のかけら,2,賊竜のたてがみ,15,マカライト鉱石,28,流水草,29
ジャグラス,ジャグラスヘルム,8,4,8000,賊竜の良質な鱗,10,翼竜の皮,45,鉄鉱石,37,,
ジャグラス,ジャグラスヘルム,8,5,10000,竜玉のかけら,2,大地の結晶,29,ドラグライト鉱石,12,賊竜の皮,70
ジャグラス,ジャグラスヘルム,9,1,30000,竜玉のかけら,3,牙竜玉,5,防具精錬材,7,,
ジャグラス,ジャグラスヘルム,9,2,10000,賊竜の爪,25,翼竜の皮,51,鉄鉱石,43,,
ジャグラス,ジャグラスヘルム,9,3,15000,竜玉のかけら,3,賊竜のたてがみ,20,マカライト鉱石,34,流水草,36
ジャグラス,ジャグラスヘルム,9,4,20000,賊竜の良質な鱗,15,翼竜の皮,51,鉄鉱石,43,,
ジャグラス,ジャグラスヘルム,9,5,25000,竜玉のかけら,3,大地の結晶,36,ドラグライト鉱石,15,賊竜の皮,140
ジャグラス,ジャグラスヘルム,10,1,75000,竜玉のかけら,5,牙竜玉,10,防具精錬材,9,,
