名前,グレード,レベル,攻撃力,属性値,防御力
ナーブアルファルド,7,1,866,,
ナーブアルファルド,8,1,1135,,
ナーブアルファルド,9,1,1487,,
ナーブアルファルド,10,1,1949,,
ナーブアルファルド,10,5,2335,,
ザクンアルギエバ改,6,1,660,,
ザクンアルギエバ改,7,1,866,,
ザクンアルギエバ改,8,1,1135,,
ザクンアルギエバ改,9,1,1487,,
ザクンアルギエバ改,10,1,1949,,
ザクンアルギエバ改,10,5,2335,,
ザクンアルギエバ,5,1,503,,
ザクンアルギエバ,6,1,660,,
ザクンアルギエバ,7,1,866,,
ザクンアルギエバ,8,1,1135,,
ザクンアルギエバ,9,1,1487,,
ザクンアルギエバ,10,1,1949,,
ザクンアルギエバ,10,5,2335,,
チェーダアルザバル改,6,1,660,,
チェーダアルザバル改,7,1,866,,
チェーダアルザバル改,8,1,1135,,
チェーダアルザバル改,9,1,1487,,
チェーダアルザバル改,10,1,1949,,
チェーダアルザバル改,10,5,2335,,
チェーダアルザバル,5,1,503,,
チェーダアルザバル,6,1,660,,
チェーダアルザバル,7,1,866,,
チェーダアルザバル,8,1,1135,,
チェーダアルザバル,9,1,1487,,
チェーダアルザバル,10,1,1949,,
チェーダアルザバル,10,5,2335,,
シミターアルナジト改,6,1,660,,
シミターアルナジト改,7,1,866,,
シミターアルナジト改,8,1,1135,,
シミターアルナジト改,9,1,1487,,
シミターアルナジト改,10,1,1949,,
シミターアルナジト改,10,5,2335,,
シミターアルナジト,5,1,503,,
シミターアルナジト,6,1,660,,
シミターアルナジト,7,1,866,,
シミターアルナジト,8,1,1135,,
シミターアルナジト,9,1,1487,,
シミターアルナジト,10,1,1949,,
シミターアルナジト,10,5,2335,,
マトラカアルグル改,6,1,660,,
マトラカアルグル改,7,1,866,,
マトラカアルグル改,8,1,1135,,
マトラカアルグル改,9,1,1487,,
マトラカアルグル改,10,1,1949,,
マトラカアルグル改,10,5,2335,,
マトラカアルグル,5,1,503,,
マトラカアルグル,6,1,660,,
マトラカアルグル,7,1,866,,
マトラカアルグル,8,1,1135,,
マトラカアルグル,9,1,1487,,
マトラカアルグル,10,1,1949,,
マトラカアルグル,10,5,2335,,
ハルバアルメンカル改,6,1,660,,
ハルバアルメンカル改,7,1,866,,
ハルバアルメンカル改,8,1,1135,,
ハルバアルメンカル改,9,1,1487,,
ハルバアルメンカル改,10,1,1949,,
ハルバアルメンカル改,10,5,2335,,
ハルバアルメンカル,5,1,503,,
ハルバアルメンカル,6,1,660,,
ハルバアルメンカル,7,1,866,,
ハルバアルメンカル,8,1,1135,,
ハルバアルメンカル,9,1,1487,,
ハルバアルメンカル,10,1,1949,,
ハルバアルメンカル,10,5,2335,,
アスファアルダナブ改,6,1,660,,
アスファアルダナブ改,7,1,866,,
アスファアルダナブ改,8,1,1135,,
アスファアルダナブ改,9,1,1487,,
アスファアルダナブ改,10,1,1949,,
アスファアルダナブ改,10,5,2335,,
アスファアルダナブ,5,1,503,,
アスファアルダナブ,6,1,660,,
アスファアルダナブ,7,1,866,,
アスファアルダナブ,8,1,1135,,
アスファアルダナブ,9,1,1487,,
アスファアルダナブ,10,1,1949,,
アスファアルダナブ,10,5,2335,,
アクサアルダバラン改,6,1,660,,
アクサアルダバラン改,7,1,866,,
アクサアルダバラン改,8,1,1135,,
アクサアルダバラン改,9,1,1487,,
アクサアルダバラン改,10,1,1949,,
アクサアルダバラン改,10,5,2335,,
アクサアルダバラン,5,1,503,,
アクサアルダバラン,6,1,660,,
アクサアルダバラン,7,1,866,,
アクサアルダバラン,8,1,1135,,
アクサアルダバラン,9,1,1487,,
アクサアルダバラン,10,1,1949,,
アクサアルダバラン,10,5,2335,,
アスラトアルマイサ改,6,1,660,,
アスラトアルマイサ改,7,1,866,,
アスラトアルマイサ改,8,1,1135,,
アスラトアルマイサ改,9,1,1487,,
アスラトアルマイサ改,10,1,1949,,
アスラトアルマイサ改,10,5,2335,,
アスラトアルマイサ,5,1,503,,
アスラトアルマイサ,6,1,660,,
アスラトアルマイサ,7,1,866,,
アスラトアルマイサ,8,1,1135,,
アスラトアルマイサ,9,1,1487,,
アスラトアルマイサ,10,1,1949,,
アスラトアルマイサ,10,5,2335,,
ラサーサアルシアラ改,6,1,660,,
ラサーサアルシアラ改,7,1,866,,
ラサーサアルシアラ改,8,1,1135,,
ラサーサアルシアラ改,9,1,1487,,
ラサーサアルシアラ改,10,1,1949,,
ラサーサアルシアラ改,10,5,2335,,
ラサーサアルシアラ,5,1,503,,
ラサーサアルシアラ,6,1,660,,
ラサーサアルシアラ,7,1,866,,
ラサーサアルシアラ,8,1,1135,,
ラサーサアルシアラ,9,1,1487,,
ラサーサアルシアラ,10,1,1949,,
ラサーサアルシアラ,10,5,2335,,
サイドアルシャマリ改,6,1,660,,
サイドアルシャマリ改,7,1,866,,
サイドアルシャマリ改,8,1,1135,,
サイドアルシャマリ改,9,1,1487,,
サイドアルシャマリ改,10,1,1949,,
サイドアルシャマリ改,10,5,2335,,
サイドアルシャマリ,5,1,503,,
サイドアルシャマリ,6,1,660,,
サイドアルシャマリ,7,1,866,,
サイドアルシャマリ,8,1,1135,,
サイドアルシャマリ,9,1,1487,,
サイドアルシャマリ,10,1,1949,,
サイドアルシャマリ,10,5,2335,,
シャルラアルナスル改,6,1,660,,
シャルラアルナスル改,7,1,866,,
シャルラアルナスル改,8,1,1135,,
シャルラアルナスル改,9,1,1487,,
シャルラアルナスル改,10,1,1949,,
シャルラアルナスル改,10,5,2335,,
シャルラアルナスル,5,1,503,,
シャルラアルナスル,6,1,660,,
シャルラアルナスル,7,1,866,,
シャルラアルナスル,8,1,1135,,
シャルラアルナスル,9,1,1487,,
シャルラアルナスル,10,1,1949,,
シャルラアルナスル,10,5,2335,,
ワージャアルリジル改,6,1,660,,
ワージャアルリジル改,7,1,866,,
ワージャアルリジル改,8,1,1135,,
ワージャアルリジル改,9,1,1487,,
ワージャアルリジル改,10,1,1949,,
ワージャアルリジル改,10,5,2335,,
ワージャアルリジル,5,1,503,,
ワージャアルリジル,6,1,660,,
ワージャアルリジル,7,1,866,,
ワージャアルリジル,8,1,1135,,
ワージャアルリジル,9,1,1487,,
ワージャアルリジル,10,1,1949,,
ワージャアルリジル,10,5,2335,,
キーラアルティール改,6,1,660,,
キーラアルティール改,7,1,866,,
キーラアルティール改,8,1,1135,,
キーラアルティール改,9,1,1487,,
キーラアルティール改,10,1,1949,,
キーラアルティール改,10,5,2335,,
キーラアルティール,5,1,503,,
キーラアルティール,6,1,660,,
キーラアルティール,7,1,866,,
キーラアルティール,8,1,1135,,
キーラアルティール,9,1,1487,,
キーラアルティール,10,1,1949,,
キーラアルティール,10,5,2335,,
D=ジーカッター,6,1,400,343,
D=ジーカッター,7,1,506,470,
D=ジーカッター,8,1,640,638,
D=ジーカッター,9,1,808,867,
D=ジーカッター,10,1,1020,1173,
D=ジーカッター,10,5,1222,1458,
セツ=D,4,1,225,164,
セツ=D,5,1,316,251,
セツ=D,6,1,400,343,
セツ=D,7,1,506,470,
セツ=D,8,1,640,638,
セツ=D,9,1,808,867,
セツ=D,10,1,1020,1173,
セツ=D,10,5,1222,1458,
D=バイダー,6,1,400,343,
D=バイダー,7,1,506,470,
D=バイダー,8,1,640,638,
D=バイダー,9,1,808,867,
D=バイダー,10,1,1020,1173,
D=バイダー,10,5,1222,1458,
D=トゥ,4,1,225,164,
D=トゥ,5,1,316,251,
D=トゥ,6,1,400,343,
D=トゥ,7,1,506,470,
D=トゥ,8,1,640,638,
D=トゥ,9,1,808,867,
D=トゥ,10,1,1020,1173,
D=トゥ,10,5,1222,1458,
D=ブレイク,6,1,400,343,
D=ブレイク,7,1,506,470,
D=ブレイク,8,1,640,638,
D=ブレイク,9,1,808,867,
D=ブレイク,10,1,1020,1173,
D=ブレイク,10,5,1222,1458,
D=スィ,4,1,225,164,
D=スィ,5,1,316,251,
D=スィ,6,1,400,343,
D=スィ,7,1,506,470,
D=スィ,8,1,640,638,
D=スィ,9,1,808,867,
D=スィ,10,1,1020,1173,
D=スィ,10,5,1222,1458,
ドゥームズ=D,6,1,400,343,
ドゥームズ=D,7,1,506,470,
ドゥームズ=D,8,1,640,638,
ドゥームズ=D,9,1,808,867,
ドゥームズ=D,10,1,1020,1173,
ドゥームズ=D,10,5,1222,1458,
D=ネイ,4,1,225,164,
D=ネイ,5,1,316,251,
D=ネイ,6,1,400,343,
D=ネイ,7,1,506,470,
D=ネイ,8,1,640,638,
D=ネイ,9,1,808,867,
D=ネイ,10,1,1020,1173,
D=ネイ,10,5,1222,1458,
D=ビジョン,6,1,400,343,
D=ビジョン,7,1,506,470,
D=ビジョン,8,1,640,638,
D=ビジョン,9,1,808,867,
D=ビジョン,10,1,1020,1173,
D=ビジョン,10,5,1222,1458,
フー=D,4,1,225,164,
フー=D,5,1,316,251,
フー=D,6,1,400,343,
フー=D,7,1,506,470,
フー=D,8,1,640,638,
フー=D,9,1,808,867,
フー=D,10,1,1020,1173,
フー=D,10,5,1222,1458,
D=スラプト,6,1,400,343,
D=スラプト,7,1,506,470,
D=スラプト,8,1,640,638,
D=スラプト,9,1,808,867,
D=スラプト,10,1,1020,1173,
D=スラプト,10,5,1222,1458,
D=ガン,4,1,225,164,
D=ガン,5,1,316,251,
D=ガン,6,1,400,343,
D=ガン,7,1,506,470,
D=ガン,8,1,640,638,
D=ガン,9,1,808,867,
D=ガン,10,1,1020,1173,
D=ガン,10,5,1222,1458,
D=レクション,6,1,400,343,
D=レクション,7,1,506,470,
D=レクション,8,1,640,638,
D=レクション,9,1,808,867,
D=レクション,10,1,1020,1173,
D=レクション,10,5,1222,1458,
D=シャ,4,1,225,164,
D=シャ,5,1,316,251,
D=シャ,6,1,400,343,
D=シャ,7,1,506,470,
D=シャ,8,1,640,638,
D=シャ,9,1,808,867,
D=シャ,10,1,1020,1173,
D=シャ,10,5,1222,1458,
サルガナスレイピア改,6,1,428,319,
サルガナスレイピア改,7,1,547,443,
サルガナスレイピア改,8,1,698,611,
サルガナスレイピア改,9,1,892,842,
サルガナスレイピア改,10,1,1138,1156,
サルガナスレイピア改,10,5,1363,1436,
サルガナスレイピア,5,1,335,230,
サルガナスレイピア,6,1,428,319,
サルガナスレイピア,7,1,547,443,
サルガナスレイピア,8,1,698,611,
サルガナスレイピア,9,1,892,842,
サルガナスレイピア,10,1,1138,1156,
サルガナスレイピア,10,5,1363,1436,
双光刃ココウノリュウ改,6,1,428,319,
双光刃ココウノリュウ改,7,1,547,443,
双光刃ココウノリュウ改,8,1,698,611,
双光刃ココウノリュウ改,9,1,892,842,
双光刃ココウノリュウ改,10,1,1138,1156,
双光刃ココウノリュウ改,10,5,1363,1436,
双光刃ココウノリュウ,5,1,335,230,
双光刃ココウノリュウ,6,1,428,319,
双光刃ココウノリュウ,7,1,547,443,
双光刃ココウノリュウ,8,1,698,611,
双光刃ココウノリュウ,9,1,892,842,
双光刃ココウノリュウ,10,1,1138,1156,
双光刃ココウノリュウ,10,5,1363,1436,
啼剣ライゼクス改,6,1,428,319,
啼剣ライゼクス改,7,1,547,443,
啼剣ライゼクス改,8,1,698,611,
啼剣ライゼクス改,9,1,892,842,
啼剣ライゼクス改,10,1,1138,1156,
啼剣ライゼクス改,10,5,1363,1436,
啼剣ライゼクス,5,1,335,230,
啼剣ライゼクス,6,1,428,319,
啼剣ライゼクス,7,1,547,443,
啼剣ライゼクス,8,1,698,611,
啼剣ライゼクス,9,1,892,842,
啼剣ライゼクス,10,1,1138,1156,
啼剣ライゼクス,10,5,1363,1436,
飛竜刀【ペリドート】改,6,1,428,319,
飛竜刀【ペリドート】改,7,1,547,443,
飛竜刀【ペリドート】改,8,1,698,611,
飛竜刀【ペリドート】改,9,1,892,842,
飛竜刀【ペリドート】改,10,1,1138,1156,
飛竜刀【ペリドート】改,10,5,1363,1436,
飛竜刀【ペリドート】,5,1,335,230,
飛竜刀【ペリドート】,6,1,428,319,
飛竜刀【ペリドート】,7,1,547,443,
飛竜刀【ペリドート】,8,1,698,611,
飛竜刀【ペリドート】,9,1,892,842,
飛竜刀【ペリドート】,10,1,1138,1156,
飛竜刀【ペリドート】,10,5,1363,1436,
電竜砕ゼクスムマ改,6,1,428,319,
電竜砕ゼクスムマ改,7,1,547,443,
電竜砕ゼクスムマ改,8,1,698,611,
電竜砕ゼクスムマ改,9,1,892,842,
電竜砕ゼクスムマ改,10,1,1138,1156,
電竜砕ゼクスムマ改,10,5,1363,1436,
電竜砕ゼクスムマ,5,1,335,230,
電竜砕ゼクスムマ,6,1,428,319,
電竜砕ゼクスムマ,7,1,547,443,
電竜砕ゼクスムマ,8,1,698,611,
電竜砕ゼクスムマ,9,1,892,842,
電竜砕ゼクスムマ,10,1,1138,1156,
電竜砕ゼクスムマ,10,5,1363,1436,
ヴェールライトニング改,6,1,428,319,
ヴェールライトニング改,7,1,547,443,
ヴェールライトニング改,8,1,698,611,
ヴェールライトニング改,9,1,892,842,
ヴェールライトニング改,10,1,1138,1156,
ヴェールライトニング改,10,5,1363,1436,
ヴェールライトニング,5,1,335,230,
ヴェールライトニング,6,1,428,319,
ヴェールライトニング,7,1,547,443,
ヴェールライトニング,8,1,698,611,
ヴェールライトニング,9,1,892,842,
ヴェールライトニング,10,1,1138,1156,
ヴェールライトニング,10,5,1363,1436,
フォンセチャリオット改,6,1,428,319,
フォンセチャリオット改,7,1,547,443,
フォンセチャリオット改,8,1,698,611,
フォンセチャリオット改,9,1,892,842,
フォンセチャリオット改,10,1,1138,1156,
フォンセチャリオット改,10,5,1363,1436,
フォンセチャリオット,5,1,335,230,
フォンセチャリオット,6,1,428,319,
フォンセチャリオット,7,1,547,443,
フォンセチャリオット,8,1,698,611,
フォンセチャリオット,9,1,892,842,
フォンセチャリオット,10,1,1138,1156,
フォンセチャリオット,10,5,1363,1436,
霹電斧アムガラクレス,6,1,428,319,
霹電斧アムガラクレス,7,1,547,443,
霹電斧アムガラクレス,8,1,698,611,
霹電斧アムガラクレス,9,1,892,842,
霹電斧アムガラクレス,10,1,1138,1156,
霹電斧アムガラクレス,10,5,1363,1436,
電閃斧ヴァジャラクレス,5,1,335,230,
電閃斧ヴァジャラクレス,6,1,428,319,
電閃斧ヴァジャラクレス,7,1,547,443,
電閃斧ヴァジャラクレス,8,1,698,611,
電閃斧ヴァジャラクレス,9,1,892,842,
電閃斧ヴァジャラクレス,10,1,1138,1156,
電閃斧ヴァジャラクレス,10,5,1363,1436,
ハイ=ライジャード改,6,1,428,319,
ハイ=ライジャード改,7,1,547,443,
ハイ=ライジャード改,8,1,698,611,
ハイ=ライジャード改,9,1,892,842,
ハイ=ライジャード改,10,1,1138,1156,
ハイ=ライジャード改,10,5,1363,1436,
ハイ＝ライジャード,5,1,335,230,
ハイ＝ライジャード,6,1,428,319,
ハイ＝ライジャード,7,1,547,443,
ハイ＝ライジャード,8,1,698,611,
ハイ＝ライジャード,9,1,892,842,
ハイ＝ライジャード,10,1,1138,1156,
ハイ＝ライジャード,10,5,1363,1436,
サージ電竜砲【翠電】改,6,1,428,319,
サージ電竜砲【翠電】改,7,1,547,443,
サージ電竜砲【翠電】改,8,1,698,611,
サージ電竜砲【翠電】改,9,1,892,842,
サージ電竜砲【翠電】改,10,1,1138,1156,
サージ電竜砲【翠電】改,10,5,1363,1436,
サージ電竜砲【翠電】,5,1,335,230,
サージ電竜砲【翠電】,6,1,428,319,
サージ電竜砲【翠電】,7,1,547,443,
サージ電竜砲【翠電】,8,1,698,611,
サージ電竜砲【翠電】,9,1,892,842,
サージ電竜砲【翠電】,10,1,1138,1156,
サージ電竜砲【翠電】,10,5,1363,1436,
電竜大砲【襲撃】改,6,1,428,319,
電竜大砲【襲撃】改,7,1,547,443,
電竜大砲【襲撃】改,8,1,698,611,
電竜大砲【襲撃】改,9,1,892,842,
電竜大砲【襲撃】改,10,1,1138,1156,
電竜大砲【襲撃】改,10,5,1363,1436,
電竜大砲【襲撃】,5,1,335,230,
電竜大砲【襲撃】,6,1,428,319,
電竜大砲【襲撃】,7,1,547,443,
電竜大砲【襲撃】,8,1,698,611,
電竜大砲【襲撃】,9,1,892,842,
電竜大砲【襲撃】,10,1,1138,1156,
電竜大砲【襲撃】,10,5,1363,1436,
電撃弓トネール改,6,1,428,319,
電撃弓トネール改,7,1,547,443,
電撃弓トネール改,8,1,698,611,
電撃弓トネール改,9,1,892,842,
電撃弓トネール改,10,1,1138,1156,
電撃弓トネール改,10,5,1363,1436,
電撃弓トネール,5,1,335,230,
電撃弓トネール,6,1,428,319,
電撃弓トネール,7,1,547,443,
電撃弓トネール,8,1,698,611,
電撃弓トネール,9,1,892,842,
電撃弓トネール,10,1,1138,1156,
電撃弓トネール,10,5,1363,1436,
グルンドナーフラップ改,6,1,428,319,
グルンドナーフラップ改,7,1,547,443,
グルンドナーフラップ改,8,1,698,611,
グルンドナーフラップ改,9,1,892,842,
グルンドナーフラップ改,10,1,1138,1156,
グルンドナーフラップ改,10,5,1363,1436,
グルンドナーフラップ,5,1,335,230,
グルンドナーフラップ,6,1,428,319,
グルンドナーフラップ,7,1,547,443,
グルンドナーフラップ,8,1,698,611,
グルンドナーフラップ,9,1,892,842,
グルンドナーフラップ,10,1,1138,1156,
グルンドナーフラップ,10,5,1363,1436,
雷牙の霆竜棍改,6,1,428,319,
雷牙の霆竜棍改,7,1,547,443,
雷牙の霆竜棍改,8,1,698,611,
雷牙の霆竜棍改,9,1,892,842,
雷牙の霆竜棍改,10,1,1138,1156,
雷牙の霆竜棍改,10,5,1363,1436,
雷牙の霆竜棍,5,1,335,230,
雷牙の霆竜棍,6,1,428,319,
雷牙の霆竜棍,7,1,547,443,
雷牙の霆竜棍,8,1,698,611,
雷牙の霆竜棍,9,1,892,842,
雷牙の霆竜棍,10,1,1138,1156,
雷牙の霆竜棍,10,5,1363,1436,
ゴシャガガシャ,6,1,505,320,
ゴシャガガシャ,7,1,642,448,
ゴシャガガシャ,8,1,815,623,
ゴシャガガシャ,9,1,1034,867,
ゴシャガガシャ,10,1,1311,1200,
ゴシャガガシャ,10,5,1570,1492,
ゴシャガシャ,4,1,283,147,
ゴシャガシャ,5,1,398,229,
ゴシャガシャ,6,1,505,320,
ゴシャガシャ,7,1,642,448,
ゴシャガシャ,8,1,815,623,
ゴシャガシャ,9,1,1034,867,
ゴシャガシャ,10,1,1311,1200,
ゴシャガシャ,10,5,1570,1492,
ゴシャガバァン,6,1,505,320,
ゴシャガバァン,7,1,642,448,
ゴシャガバァン,8,1,815,623,
ゴシャガバァン,9,1,1034,867,
ゴシャガバァン,10,1,1311,1200,
ゴシャガバァン,10,5,1570,1436,
ゴシャバァン,4,1,283,147,
ゴシャバァン,5,1,398,229,
ゴシャバァン,6,1,505,320,
ゴシャバァン,7,1,642,448,
ゴシャバァン,8,1,815,623,
ゴシャバァン,9,1,1034,867,
ゴシャバァン,10,1,1311,1200,
ゴシャバァン,10,5,1570,1436,
ゴシャガボコォ,6,1,505,320,
ゴシャガボコォ,7,1,642,448,
ゴシャガボコォ,8,1,815,623,
ゴシャガボコォ,9,1,1034,867,
ゴシャガボコォ,10,1,1311,1200,
ゴシャガボコォ,10,5,1570,1436,
ゴシャボコォ,4,1,283,147,
ゴシャボコォ,5,1,398,229,
ゴシャボコォ,6,1,505,320,
ゴシャボコォ,7,1,642,448,
ゴシャボコォ,8,1,815,623,
ゴシャボコォ,9,1,1034,867,
ゴシャボコォ,10,1,1311,1200,
ゴシャボコォ,10,5,1570,1436,
笞打ちのシュトック,6,1,433,433,
笞打ちのシュトック,7,1,560,560,
笞打ちのシュトック,8,1,723,723,
笞打ちのシュトック,9,1,933,933,
笞打ちのシュトック,10,1,1205,1205,
笞打ちのシュトック,10,5,1444,1622,
ローゼンシュタンゲ改,6,1,439,319,
ローゼンシュタンゲ改,7,1,565,443,
ローゼンシュタンゲ改,8,1,725,610,
ローゼンシュタンゲ改,9,1,932,841,
ローゼンシュタンゲ改,10,1,1197,1154,
ローゼンシュタンゲ改,10,5,1434,1434,
ローゼンシュタンゲ,5,1,342,230,
ローゼンシュタンゲ,6,1,439,319,
ローゼンシュタンゲ,7,1,565,443,
ローゼンシュタンゲ,8,1,725,610,
ローゼンシュタンゲ,9,1,932,841,
ローゼンシュタンゲ,10,1,1197,1154,
ローゼンシュタンゲ,10,5,1434,1434,
ゴルム・グレイヴ改,6,1,671,,
ゴルム・グレイヴ改,7,1,880,,
ゴルム・グレイヴ改,8,1,1153,,
ゴルム・グレイヴ改,9,1,1510,,
ゴルム・グレイヴ改,10,1,1979,,
ゴルム・グレイヴ改,10,5,2371,,
ゴルム・グレイヴ,4,1,353,,
ゴルム・グレイヴ,5,1,512,,
ゴルム・グレイヴ,6,1,671,,
ゴルム・グレイヴ,7,1,880,,
ゴルム・グレイヴ,8,1,1153,,
ゴルム・グレイヴ,9,1,1510,,
ゴルム・グレイヴ,10,1,1979,,
ゴルム・グレイヴ,10,5,2371,,
冷たき月の双刃棍改,6,1,400,343,
冷たき月の双刃棍改,7,1,506,470,
冷たき月の双刃棍改,8,1,640,638,
冷たき月の双刃棍改,9,1,808,867,
冷たき月の双刃棍改,10,1,1020,1173,
冷たき月の双刃棍改,10,5,1222,1458,
冷たき月の双刃棍,4,1,225,164,
冷たき月の双刃棍,5,1,316,251,
冷たき月の双刃棍,6,1,400,343,
冷たき月の双刃棍,7,1,506,470,
冷たき月の双刃棍,8,1,640,638,
冷たき月の双刃棍,9,1,808,867,
冷たき月の双刃棍,10,1,1020,1173,
冷たき月の双刃棍,10,5,1222,1458,
ヒュドロスアーケーン,6,1,425,276,
